Date,Open,High,Low,Close,Volume,Market Cap
"Dec 02, 2017",26.65,29.32,26.40,29.32,"8,999,810","293,173,000"
"Dec 01, 2017",26.03,27.50,24.84,26.67,"2,904,280","286,346,000"
"Nov 30, 2017",24.61,26.77,23.08,26.01,"2,354,800","270,708,000"
"Nov 29, 2017",28.48,30.80,24.24,24.28,"5,518,380","313,279,000"
"Nov 28, 2017",28.88,29.28,27.90,28.56,"2,991,360","317,692,000"
"Nov 27, 2017",27.28,29.75,27.22,28.78,"3,464,660","300,121,000"
"Nov 26, 2017",28.33,28.41,26.67,27.21,"2,298,210","311,664,000"
"Nov 25, 2017",28.54,28.74,27.50,28.34,"3,557,430","313,932,000"
"Nov 24, 2017",25.75,28.67,24.67,28.55,"5,688,400","283,259,000"
"Nov 23, 2017",25.11,35.63,24.95,25.77,"20,368,900","276,160,000"
"Nov 22, 2017",21.14,27.16,21.04,25.12,"7,935,880","232,584,000"
"Nov 21, 2017",20.94,21.38,20.17,21.13,"1,387,670","230,382,000"
"Nov 20, 2017",20.23,21.10,19.85,20.99,"1,176,890","222,498,000"
"Nov 19, 2017",19.73,20.49,19.72,20.20,"1,138,730","217,027,000"
"Nov 18, 2017",19.22,19.86,18.88,19.74,"815,249","211,375,000"
"Nov 17, 2017",19.79,20.00,19.10,19.26,"1,267,730","217,734,000"
"Nov 16, 2017",19.37,20.18,19.05,19.78,"1,432,180","213,095,000"
"Nov 15, 2017",18.93,19.37,18.66,19.22,"1,250,130","208,279,000"
"Nov 14, 2017",18.29,19.02,18.07,18.86,"1,003,900","201,179,000"
"Nov 13, 2017",17.39,18.44,17.32,18.23,"870,775","191,345,000"
"Nov 12, 2017",18.22,18.41,16.88,17.45,"1,919,200","200,461,000"
"Nov 11, 2017",17.61,18.68,17.56,18.21,"1,330,620","193,728,000"
"Nov 10, 2017",19.08,19.86,17.39,17.69,"1,754,170","209,835,000"
"Nov 09, 2017",18.40,19.35,18.06,19.12,"1,837,380","202,416,000"
"Nov 08, 2017",17.06,19.54,16.93,18.38,"2,138,860","187,683,000"
"Nov 07, 2017",16.89,18.76,16.85,17.04,"1,457,810","185,779,000"
"Nov 06, 2017",16.71,17.14,16.33,16.89,"907,617","183,862,000"
"Nov 05, 2017",17.40,19.17,16.18,16.61,"2,101,850","191,376,000"
"Nov 04, 2017",17.79,17.79,17.10,17.42,"748,167","195,663,000"
"Nov 03, 2017",16.22,17.84,15.95,17.83,"1,476,930","178,443,000"
"Nov 02, 2017",16.89,17.23,15.45,16.18,"1,498,460","185,770,000"
"Nov 01, 2017",17.50,20.76,16.91,16.95,"3,938,990","192,526,000"
"Oct 31, 2017",17.13,17.80,17.08,17.59,"949,978","188,467,000"
"Oct 30, 2017",17.71,17.71,16.92,17.17,"739,091","194,793,000"
"Oct 29, 2017",17.26,18.28,17.23,17.70,"634,587","189,897,000"
"Oct 28, 2017",17.57,17.72,17.23,17.27,"391,903","193,241,000"
"Oct 27, 2017",17.93,18.02,17.22,17.54,"482,746","197,200,000"
"Oct 26, 2017",17.97,18.29,17.59,17.90,"540,067","197,694,000"
"Oct 25, 2017",17.74,18.10,17.13,17.94,"730,846","195,181,000"
"Oct 24, 2017",16.12,18.48,15.98,17.66,"1,311,980","177,268,000"
"Oct 23, 2017",16.84,16.92,16.06,16.29,"893,583","185,242,000"
"Oct 22, 2017",16.86,17.17,16.38,16.85,"526,437","185,419,000"
"Oct 21, 2017",17.45,17.57,16.26,16.84,"667,841","191,982,000"
"Oct 20, 2017",18.12,18.39,17.36,17.56,"950,119","199,335,000"
"Oct 19, 2017",18.36,18.64,17.92,18.15,"578,350","202,015,000"
"Oct 18, 2017",18.72,18.73,17.70,18.34,"779,130","205,969,000"
"Oct 17, 2017",19.08,19.12,18.63,18.70,"576,251","209,918,000"
"Oct 16, 2017",18.72,19.23,18.48,19.09,"930,751","205,872,000"
"Oct 15, 2017",19.07,19.14,17.98,18.66,"480,545","209,729,000"
"Oct 14, 2017",18.39,18.95,18.26,18.95,"653,761","202,279,000"
"Oct 13, 2017",18.25,18.93,17.95,18.38,"1,179,910","200,748,000"
"Oct 12, 2017",18.62,19.10,18.17,18.23,"1,701,010","204,799,000"
"Oct 11, 2017",18.82,18.92,18.55,18.61,"493,703","206,975,000"
"Oct 10, 2017",17.80,19.21,17.50,18.77,"692,292","195,823,000"
"Oct 09, 2017",19.11,19.22,17.72,17.81,"924,576","210,206,000"
"Oct 08, 2017",20.10,20.11,19.11,19.12,"723,733","221,123,000"
"Oct 07, 2017",19.66,20.59,19.66,20.13,"1,104,820","216,245,000"
"Oct 06, 2017",19.01,19.61,18.52,19.61,"722,235","209,122,000"
"Oct 05, 2017",19.01,19.27,18.61,19.02,"657,037","209,079,000"
"Oct 04, 2017",19.47,19.56,18.88,18.99,"571,388","214,161,000"
"Oct 03, 2017",19.37,19.49,18.99,19.44,"786,055","213,088,000"
"Oct 02, 2017",20.66,20.69,19.18,19.37,"789,547","227,255,000"
"Oct 01, 2017",21.22,21.34,20.16,20.66,"496,431","233,421,000"
"Sep 30, 2017",20.72,21.64,20.51,21.19,"706,371","227,924,000"
"Sep 29, 2017",22.20,22.46,20.14,20.64,"1,184,250","244,249,000"
"Sep 28, 2017",20.96,22.76,20.73,22.23,"2,030,560","230,602,000"
"Sep 27, 2017",18.79,21.21,18.68,20.98,"1,632,240","206,643,000"
"Sep 26, 2017",18.80,18.96,18.49,18.82,"397,769","206,788,000"
"Sep 25, 2017",17.81,18.95,17.76,18.81,"623,948","195,868,000"
"Sep 24, 2017",18.00,18.48,17.83,17.84,"545,368","198,006,000"
"Sep 23, 2017",16.98,18.09,16.72,18.00,"401,046","186,760,000"
"Sep 22, 2017",17.12,17.60,16.39,17.01,"340,706","188,348,000"
"Sep 21, 2017",18.41,18.48,16.26,17.13,"1,114,830","202,480,000"
"Sep 20, 2017",18.48,18.84,18.00,18.50,"554,121","203,240,000"
"Sep 19, 2017",19.05,19.19,17.90,18.46,"768,861","209,508,000"
"Sep 18, 2017",17.61,19.12,17.61,19.02,"1,030,230","193,688,000"
"Sep 17, 2017",17.62,17.82,15.77,17.64,"2,144,090","193,768,000"
